external_gene_name,NIH_accession,NIH_description,GO terms
KERA,kera,keratocan,
fmodb,lum,lumican,
ugp2a,,,
ST8SIA1,st8sia1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",
GOLT1B,golt1ba,golgi transport 1Ba,
cax1,cax1,cation/H+ exchanger protein 1,
TPRKB,tprkb,Tp53rk binding protein,
alg10,alg10,"ALG10 alpha-1,2-mannosyltransferase",
zgc:113263,zgc:113263,uncharacterized LOC111565846,
SMO,smo,"smoothened, frizzled class receptor",
PHTF2,LOC111565830,protein PHTF2,
fgfbp3,fgfbp3,fibroblast growth factor binding protein 3,
epas1b,,,
ZC3H15,zc3h15,zinc finger CCCH-type containing 15,metal ion binding
RBM45,rbm45,RNA binding motif protein 45,
LNPK,lnpk,"lunapark, ER junction formation factor",
,LOC111586172,cytochrome P450 26C1,monooxygenase activity
,cdh5,cadherin 5,
,LOC111566253,high-affinity choline transporter 1-like,
,LOC111566250,high-affinity choline transporter 1-like,
,LOC111585047,cytochrome c,
elovl6l,LOC111579360,elongation of very long chain fatty acids protein 6-like,
SLC22A7,LOC111586390,solute carrier family 22 member 7-like,membrane
CTDSP1,,,
ankrd1a,LOC111566252,ankyrin repeat domain-containing protein 1,cytoplasm
gja5b,LOC111585045,gap junction alpha-5 protein-like,
,LOC111582914,follistatin-related protein 1-like,
MTX2,mtx2,metaxin 2,
pcgf5a,pcgf5b,polycomb group ring finger 5b,metal ion binding
slc5a7a,LOC111583968,high-affinity choline transporter 1-like,membrane
AIFM2,aifm2,apoptosis inducing factor mitochondria associated 2,
,LOC111569215,homeobox protein Hox-D4b-like,DNA binding
TMEM60,LOC111565842,transmembrane protein 60-like,
COX20,LOC111583964,"cytochrome c oxidase assembly protein COX20, mitochondrial",
TSPAN14,LOC111586055,"cytochrome c oxidase subunit 7A-related protein, mitochondrial-like",
ANKS1B,,,
,LOC111586054,potassium voltage-gated channel subfamily G member 3-like,
prph2b,prph2b,"peripherin 2b (retinal degeneration, slow)",
R3HDM4,r3hdm4,R3H domain containing 4,
UBR2,ubr2,ubiquitin protein ligase E3 component n-recognin 2,metal ion binding
,si:ch73-60h1.1,calcium/calmodulin-dependent protein kinase type IV,
SLC22A15,slc22a15,solute carrier family 22 member 15,
CUL7,LOC111578744,cullin-9,
brd1a,brd1a,bromodomain containing 1a,
PLXNA4,,,membrane
si:ch211-262i1.6,fam174c,family with sequence similarity 174 member C,
HMCN1,,,
bcl2l16,bcl2l16,BCL2 like 16,
TUBB2B,,,
,zgc:100868,uncharacterized LOC111564562,
srsf2a,srsf2b,serine and arginine rich splicing factor 2b,nucleic acid binding
STAC2,,,metal ion binding
st6gal2a,LOC129347499,"beta-galactoside alpha-2,6-sialyltransferase 2-like",
EFCAB1,,,
TTLL11,,,
mpp3a,mpp3a,MAGUK p55 scaffold protein 3a,
si:dkey-13m1.5,si:ch211-198o12.4,uncharacterized LOC111573853,
APBA3,LOC111564783,uncharacterized LOC111564783,
FBXL20,fbxl20,F-box and leucine-rich repeat protein 20,
syt7b,si:ch73-40i7.2,FYN-binding protein 1,
PPP2CB,LOC111586466,serine/threonine-protein phosphatase 2A catalytic subunit,
mamdc2a,mamdc2a,MAM domain containing 2a,
boka,boka,BCL2 family apoptosis regulator BOK a,
tprb,tprb,"translocated promoter region b, nuclear basket protein",
,slc25a25a,solute carrier family 25 member 25a,
ZNHIT6,znhit6,zinc finger HIT-type containing 6,
DDAH1,ddah1,dimethylarginine dimethylaminohydrolase 1,
CCN1,,,fin regeneration
ATPAF1,atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,
CDK12,cdk12,cyclin-dependent kinase 12,
TIE1,tie1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,
prg4b,prg4b,proteoglycan 4b,extracellular region
PEX11G,,,membrane
pdcb,pdcb,phosducin b,
FCHO1,fcho1,FCH and mu domain containing endocytic adaptor 1,
RFX2,rfx2,"regulatory factor X, 2 (influences HLA class II expression)",
lhb,lhb,luteinizing hormone subunit beta,
,LOC111583962,high-affinity choline transporter 1-like,membrane
,tjap1,tight junction associated protein 1 (peripheral),
atrnl1b,atrnl1a,attractin-like 1a,
EPB41L2,epb41l2,erythrocyte membrane protein band 4.1 like 2,
EFCAB2,,,
,LOC118470689,uncharacterized LOC118470689,
zgc:101664,zgc:101664,uncharacterized LOC129349076,
,LOC111585194,small nucleolar RNA SNORD53/SNORD92,
,LOC111585195,small nucleolar RNA SNORD53/SNORD92,
,LOC111585191,small nucleolar RNA SNORD53/SNORD92,RNA processing
,LOC111585193,small nucleolar RNA SNORD53/SNORD92,RNA processing
,LOC111585192,small nucleolar RNA SNORD53/SNORD92,RNA processing
,LOC111575106,small nucleolar RNA SNORD53/SNORD92,RNA processing
UBALD2,ubald2,UBA-like domain containing 2,
SNORD83,LOC111576451,small nucleolar RNA SNORD83,RNA processing
,LOC111576452,small nucleolar RNA SNORD17,
fam102aa,eeig1a,estrogen-induced osteoclastogenesis regulator 1a,
dhrs13a.1,LOC111579615,dehydrogenase/reductase SDR family member 13-like,
ATG14,,,cytoplasm
GJC1,gjc1,gap junction protein gamma 1,
st8sia6,st8sia6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",membrane
epd,LOC111563066,ependymin-1-like,
,LOC111567380,"alpha-2,8-sialyltransferase 8F-like",
LYSMD2,gpsm1a,G protein signaling modulator 1a,
SEPTIN9,LOC111574251,"alpha-2,8-sialyltransferase 8F-like",
MACF1,,,
si:ch211-198m17.1,si:ch211-198m17.1,mucin-2,
TRAPPC2L,LOC111582748,DELTA-sagatoxin-Srs1a-like,
,LOC111582746,DELTA-sagatoxin-Srs1a-like,
MVP,,,membrane
USP22,,,
tjp2b,LOC111579322,tight junction protein ZO-2-like,
zgc:77486,acsbg2,acyl-CoA synthetase bubblegum family member 2,
PGPEP1,LOC111573935,pyroglutamyl-peptidase 1,
DDX49,,,
UPF1,LOC111573882,regulator of nonsense transcripts 1,
arpc5b,,,
uck2a,uck2a,uridine-cytidine kinase 2a,
magoh,magoh,"mago homolog, exon junction complex subunit",
CPT2,cpt2,carnitine palmitoyltransferase 2,transferase activity
hdlbpa,hdlbpa,high density lipoprotein binding protein a,
dnmt3bb.2,LOC111568665,uncharacterized LOC111568665,
FKTN,fktn,fukutin,
FECH,fech,ferrochelatase,
TUBA1B,LOC111586647,tubulin alpha-1A chain,nucleotide binding
TUBA3E,tuba1c,"tubulin, alpha 1c",
JPT2,,,
FOXB1,LOC111578892,forkhead box protein B1-like,
pmelb,pmelb,premelanosome protein b,membrane
IKBKG,ikbkg,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,metal ion binding
SNORA65,LOC111578667,small nucleolar RNA SNORA65,RNA processing
SNORA65,LOC111586896,small nucleolar RNA SNORA65,RNA processing
AP4B1,ap4b1,adaptor related protein complex 4 subunit beta 1,
SECISBP2L,secisbp2l,SECIS binding protein 2-like,
slc6a8,,,
GMDS,gmds,"GDP-mannose 4,6-dehydratase",
IK,ik,IK cytokine,
CASKIN2,,,cytoplasm
ST8SIA3,st8sia3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",
SH3BP2,sh3bp2,SH3-domain binding protein 2,signal transduction
XPO7,,,
TSKU,tsku,tsukushi small leucine rich proteoglycan homolog (Xenopus laevis),
TYR,tyr,tyrosinase,metal ion binding
ccnl1a,,,
CEP83,lekr1,"leucine, glutamate and lysine rich 1",
CLSTN2,LOC111569704,calsyntenin-2,
METTL23,LOC111579311,histone-arginine methyltransferase METTL23,methyltransferase activity
DENND4B,LOC111568264,DENN domain-containing protein 4B,
JMJD6,jmjd6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase",
chchd3b,si:ch73-366l1.5,FILIA-N KH-like domain-containing protein,
NEUROD2,LOC111580730,neurogenic differentiation factor 2-like,
PPP1R1B,ppp1r1b,"protein phosphatase 1, regulatory (inhibitor) subunit 1B",
PLXDC1,LOC111574250,plexin domain-containing protein 1-like,
SERPINF1,serpinf1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",
,LOC129350448,calcium/calmodulin-dependent protein kinase type II subunit alpha-like,
gpr37b,camk2a,calcium/calmodulin-dependent protein kinase II alpha,nucleotide binding
ASIC2,,,
slc13a5a,slc13a5a,solute carrier family 13 member 5a,
caprin1a,,,
MFSD11,mfsd11,major facilitator superfamily domain containing 11,membrane
foxq1b,foxq1b,forkhead box Q1b,
FOXC1,,,DNA binding
foxf2b,,,DNA binding
SERPINB1,serpinb1,"serpin peptidase inhibitor, clade B (ovalbumin), member 1",
MED31,med31,mediator complex subunit 31,
EBNA1BP2,ebna1bp2,EBNA1 binding protein 2,
FXN,fxn,frataxin,
rabl6b,rabl6b,"RAB, member RAS oncogene family-like 6b",
STARD3,stard3,StAR related lipid transfer domain containing 3,
FAM189A2,fam189a2,family with sequence similarity 189 member A2,membrane
or115-15,,,membrane
,LOC111563069,C-X-C motif chemokine 13-like,
NDUFA2,ndufa2,NADH:ubiquinone oxidoreductase subunit A2,
CNOT6L,cnot6l,"CCR4-NOT transcription complex, subunit 6-like",
NOP16,nop16,NOP16 nucleolar protein homolog (yeast),
ARL10,arl10,ADP-ribosylation factor-like 10,
WWC1,,,
SLCO2B1,slco2b1,"solute carrier organic anion transporter family, member 2B1",
MRPL1,mrpl1,mitochondrial ribosomal protein L1,
im:7150988,,,extracellular region
PTAR1,ptar1,protein prenyltransferase alpha subunit repeat containing 1,
crb2b,crb2b,crumbs cell polarity complex component 2b,membrane
IMP4,imp4,IMP U3 small nucleolar ribonucleoprotein 4,Mpp10 complex
zmat4a,,,
KALRN,ccdc180,coiled-coil domain containing 180,
,grk6,G protein-coupled receptor kinase 6,
,LOC111568867,cilia- and flagella-associated protein 157-like,cilium
FAM183A,cfap144,cilia and flagella associated protein 144,
,LOC129347280,B-cell receptor CD22-like,
depdc1a,depdc1a,DEP domain containing 1a,
FRAS1,fras1,Fraser extracellular matrix complex subunit 1,
si:ch211-231m23.4,,,membrane
LIM2,lim2.5,lens intrinsic membrane protein 2.5,membrane
VSIG10L,vsig10l,V-set and immunoglobulin domain containing 10 like,membrane
,hamp,hepcidin antimicrobial peptide,
BAG6,bag6,BCL2 associated athanogene 6,
rpe65b,LOC111583702,retinal Mueller cells isomerohydrolase-like,
GLRX3,glrx3,glutaredoxin 3,
TCEA3,,,
TMEM268,tmem268,transmembrane protein 268,membrane
ITGB1BP1,LOC111579092,uncharacterized LOC111579092,
slc2a3a,LOC111568090,"solute carrier family 2, facilitated glucose transporter member 1-like",
smarcc1a,smarcc1a,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1a",
PTCHD1,ptchd1,patched domain containing 1,membrane
TMEM108,,,membrane
RARS1,,,
ENKUR,enkur,"enkurin, TRPC channel interacting protein",
unm_sa821,prtfdc1a,phosphoribosyl transferase domain containing 1a,
arhgap21a,LOC111572618,rho GTPase-activating protein 21,Golgi membrane
cox6b2,LOC111568112,cytochrome c oxidase subunit 6B1-like,
si:dkey-14o18.2,LOC111568098,GATA zinc finger domain-containing protein 14-like,membrane
clk2a,clk2a,CDC-like kinase 2a,
ARFGEF3,arfgef3,ARFGEF family member 3,
,LOC111581317,E3 ubiquitin-protein ligase TRIM35-like,
SPP1,spp1,secreted phosphoprotein 1,
NTMT1,ntmt1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,
ADRA2B,LOC111567046,alpha-2B adrenergic receptor,
ZCCHC9,zcchc9,"zinc finger, CCHC domain containing 9",
mvb12ba,LOC111567049,high choriolytic enzyme 2,metal ion binding
PIK3R1,LOC111569137,phosphatidylinositol 3-kinase regulatory subunit alpha-like,
PRKG2,LOC111585744,cGMP-dependent protein kinase 1-like,nucleotide binding
PHEX,phex,"phosphate regulating endopeptidase homolog, X-linked",
FAM50A,fam50a,family with sequence similarity 50 member A,
dnmt3bb.1,dnmt3bb.1,"DNA (cytosine-5-)-methyltransferase 3 beta, duplicate b.1",metal ion binding
MBTPS2,mbtps2,"membrane-bound transcription factor peptidase, site 2",
MAEA,maea,"macrophage erythroblast attacher, E3 ubiquitin ligase",
APBB1IP,,,signal transduction
ACTR8,actr8,actin related protein 8,
trim107,LOC111578095,"nuclear factor 7, brain-like",
septin6,septin6,septin 6,
SELENOK,selenok,selenoprotein K,
apodb,apodb,apolipoprotein Db,
sim1a,sim1a,SIM bHLH transcription factor 1a,
ASCC3,ascc3,activating signal cointegrator 1 complex subunit 3,
DIP2A,LOC111580141,disco-interacting protein 2 homolog C-like,membrane
stc1l,stc1l,"stanniocalcin 1, like",
,LOC111572658,NADPH oxidase 4,
DCC,dcc,DCC netrin 1 receptor,
si:dkeyp-23e4.3,si:dkeyp-23e4.3,rho GTPase-activating protein 7,lipid binding
SOWAHD,sowahd,sosondowah ankyrin repeat domain family d,nucleus
RAP2C,rap2c,"RAP2C, member of RAS oncogene family",
MBNL3,mbnl3,muscleblind-like splicing regulator 3,
RPS14,rps14,ribosomal protein S14,
UBE2B,LOC111570099,ubiquitin-conjugating enzyme E2 A,
CHM,chm,CHM Rab escort protein,intracellular protein transport
PRR7,LOC111569293,proline-rich protein 7,
zgc:113625,LOC111575716,GTPase IMAP family member 7-like,nucleotide binding
serpinf2a,serpinf2a,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2a",extracellular space
,LOC111575715,dachshund homolog 2-like,nucleus
ADAMTS2,adamts2a,"ADAM metallopeptidase with thrombospondin type 1 motif, 2a",metal ion binding
NKRF,nkrf,NFKB repressing factor,membrane
trim62.1,LOC111569707,E3 ubiquitin-protein ligase TRIM39-like,
gpr101,gpr101,G protein-coupled receptor 101,
SNRPD2,snrpd2,small nuclear ribonucleoprotein D2 polypeptide,
DNAJC4,dnajc4,"DnaJ (Hsp40) homolog, subfamily C, member 4",
rbmx,rbmx,RNA binding motif protein X-linked,
grhpra,,,oxidoreductase activity
si:ch211-255i20.3,si:ch211-255i20.3,transmembrane emp24 domain-containing protein 11,
rnf212,LOC111580479,probable E3 SUMO-protein ligase RNF212,
cul3a,cul3b,cullin 3b,
CTBP1,LOC111580478,C-terminal-binding protein 1,
spon2b,spon2b,"spondin 2b, extracellular matrix protein",
ATP1B4,atp1b4,ATPase Na+/K+ transporting subunit beta 4,
KLHL4,klhl4,kelch-like family member 4,
gpib,gpib,glucose-6-phosphate isomerase b,
cacna1db,cfap74,cilia and flagella associated protein 74,
TRIM16,,,metal ion binding
SLC39A1,LOC111568271,zinc transporter ZIP1,
ZBTB17,zbtb17,zinc finger and BTB domain containing 17,
FUNDC1,,,
si:dkey-152b24.6,LOC111578045,1-phosphatidylinositol phosphodiesterase-like,
PIGV,pigv,"phosphatidylinositol glycan anchor biosynthesis, class V",
DDOST,ddost,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic),
gabbr1a,gabbr1a,"gamma-aminobutyric acid (GABA) B receptor, 1a",membrane
fgfrl1a,fgfrl1a,fibroblast growth factor receptor like 1a,
hmgcra,LOC111579328,3-hydroxy-3-methylglutaryl-coenzyme A reductase-like,
HACD2,hacd2,3-hydroxyacyl-CoA dehydratase 2,
EN1,en1a,engrailed homeobox 1a,
zmp:0000000936,LOC111564385,interleukin-1 receptor-like 2,membrane
si:ch211-107m4.1,si:ch211-107m4.1,heterogeneous nuclear ribonucleoprotein U-like protein 2,
NUDT22,,,metal ion binding
FGF13,fgf13a,fibroblast growth factor 13a,
lhx2b,lhx2b,LIM homeobox 2b,axon guidance
CCDC32,ccdc32,coiled-coil domain containing 32,
CCDC32,LOC111569801,coiled-coil domain-containing protein 32-like,
zdhhc12a,zdhhc12a,zinc finger DHHC-type palmitoyltransferase 12a,
si:ch211-198n5.11,,,
ARAF,araf,"A-Raf proto-oncogene, serine/threonine kinase",
LAMP2,lamp2,lysosomal-associated membrane protein 2,membrane
ADCY5,adcy5,adenylate cyclase 5,
CUL4B,cul4b,cullin 4B,
TMEM33,tmem33,transmembrane protein 33,membrane
PDGFC,pdgfc,platelet derived growth factor c,
gria2b,,,
GPX7,gpx7,glutathione peroxidase 7,
ASPM,aspm,assembly factor for spindle microtubules,
zbtb12.1,LOC111569240,zinc finger and BTB domain-containing protein 12,
EHMT2,ehmt2,euchromatic histone-lysine N-methyltransferase 2,
avpr1ab,LOC111582910,arg8-vasotocin receptor-like,
HCFC2,hcfc2,host cell factor C2,
ELK3,elk3,ETS transcription factor ELK3,
CDK17,cdk17,cyclin-dependent kinase 17,
dhdhl,LOC111571659,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like",nucleotide binding
DPEP2,dpep2,dipeptidase 2,metal ion binding
SLC12A4,slc12a4,solute carrier family 12 member 4,membrane
C9orf72,c9orf72,C9orf72-SMCR8 complex subunit,guanyl-nucleotide exchange factor activity
myct1b,,,membrane
CDKN3,cdkn3,cyclin-dependent kinase inhibitor 3,hydrolase activity
zgc:91968,mreg,melanoregulin,
,lasp1,LIM and SH3 protein 1,
RTF1,rtf1,"RTF1 homolog, Paf1/RNA polymerase II complex component",
KMT5B,kmt5c,lysine methyltransferase 5C,nucleus
stk17al,stk17al,serine/threonine kinase 17a like,nucleotide binding
MED25,med25,mediator complex subunit 25,
PLEKHM2,plekhm2,"pleckstrin homology domain containing, family M (with RUN domain) member 2",lysosome
HSD3B7,hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase",
GPR146,gpr146,G protein-coupled receptor 146,
CASC3,casc3,casc3 exon junction complex subunit,nucleus
FOXK2,foxk2b,forkhead box K2b,
NDUFA4L2,,,
RPL19,rpl19,ribosomal protein L19,
CACNB1,cacnb1,"calcium channel, voltage-dependent, beta 1 subunit",
ZBTB25,zbtb25,zinc finger and BTB domain containing 25,
GATA4,gata4,GATA binding protein 4,
TMEM242,tmem242,transmembrane protein 242,membrane
ZDHHC14,zdhhc14,zinc finger DHHC-type palmitoyltransferase 14,
tdh,tdh,L-threonine dehydrogenase,
PPP2R5A,LOC111587152,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit,
arl5c,arl5c,ADP-ribosylation factor-like 5C,
ELFN1,elfn1a,extracellular leucine-rich repeat and fibronectin type III domain containing 1a,membrane
,si:ch211-165g14.1,transcription factor 20,
TAOK2,,,
,LOC111574860,splicing factor U2AF 65 kDa subunit-like,
TUT4,tut4,terminal uridylyl transferase 4,
MGAM,si,sucrase-isomaltase,
dhrs7ca,dhrs7ca,dehydrogenase/reductase (SDR family) member 7Ca,
im:6904045,LOC111574871,protein NATD1-like,
OR1L3,LOC111568024,olfactory receptor 52N5-like,membrane
gsg1l2a,LOC111574861,germ cell-specific gene 1-like protein,
,LOC111575721,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",
TBC1D17,tbc1d17,"TBC1 domain family, member 17",
SGCD,sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)",
si:rp71-1g18.13,LOC111571320,hexokinase-4-like,nucleotide binding
MBTPS1,mbtps1,"membrane-bound transcription factor peptidase, site 1",membrane
MPL,mpl,"MPL proto-oncogene, thrombopoietin receptor",membrane
dmrt2b,dmrt2b,doublesex and mab-3 related transcription factor 2b,metal ion binding
PLAT,LOC111575813,coagulation factor XIII B chain-like,
mylk4b,mylk4b,"myosin light chain kinase family, member 4b",
ZC3H3,zc3h3,zinc finger CCCH-type containing 3,metal ion binding
EXOC2,exoc2,exocyst complex component 2,
TAFA5,LOC111567080,chemokine-like protein TAFA-5,
snrkb,,,nucleotide binding
BMP2K,bmp2k,BMP2 inducible kinase,ATP binding
zgc:64051,zgc:64051,leukocyte surface antigen CD53,
PSKH1,pskh1,protein serine kinase H1,
TRIB2,trib2,tribbles pseudokinase 2,
LOX,LOC111585553,protein-lysine 6-oxidase,oxidoreductase activity
,LOC129349112,uncharacterized LOC129349112,
KLHL29,LOC111569679,kelch-like protein 29,
cyp2x9,LOC111565664,cytochrome P450 2F2-like,monooxygenase activity
ddr2l,ddr2l,"discoidin domain receptor family, member 2, like",
cyp2x9,LOC111565568,cytochrome P450 2F2-like,monooxygenase activity
cyp2x9,LOC111582297,cytochrome P450 2F2-like,monooxygenase activity
cyp2x9,LOC111565604,cytochrome P450 2F5-like,
POMT1,pomt1,protein-O-mannosyltransferase 1,
TMEM125,LOC111578992,transmembrane protein 125,
LRP8,lrp8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",
cyp2x9,LOC111565679,cytochrome P450 2F2-like,monooxygenase activity
mtss1la,mtss1la,MTSS I-BAR domain containing 2a,actin binding
,LOC118470840,uncharacterized LOC118470840,
ATAD2B,atad2b,ATPase family AAA domain containing 2B,
IL34,il34,interleukin 34,
MRPL33,,,
PDF,pdf,"peptide deformylase, mitochondrial",metal ion binding
SHLD2,LOC111586659,probable E3 ubiquitin-protein ligase HERC3,
SNX20,snx20,sorting nexin 20,
gcnt4a,gcnt4a,glucosaminyl (N-acetyl) transferase 4a,membrane
RBL2,rbl2,retinoblastoma-like 2 (p130),regulation of transcription by RNA polymerase II
ACTA1,LOC111579826,"actin, cytoplasmic-like",
CASP6,LOC111563365,tripartite motif-containing protein 16-like,
TMEM17,tmem17,transmembrane protein 17,
AGBL2,agbl2,AGBL carboxypeptidase 2,
PITPNC1,pitpnc1a,phosphatidylinositol transfer protein cytoplasmic 1a,phospholipid transport
PTPN5,ptpn5,protein tyrosine phosphatase non-receptor type 5,
SLC25A19,slc25a19,solute carrier family 25 member 19,
mif4gda,LOC111576163,MIF4G domain-containing protein B,
MRPS7,mrps7,mitochondrial ribosomal protein S7,
gga3b,,,intracellular protein transport
rhbdf1b,LOC111570912,uncharacterized LOC111570912,ubiquitin-protein transferase activity
BPHL,bphl,biphenyl hydrolase like,hydrolase activity
cdc14ab,cdc14ab,cell division cycle 14Ab,
CPNE8,,,
SCAMP2,scamp2,secretory carrier membrane protein 2,
gpr37a,gpr37a,G protein-coupled receptor 37a,membrane
zgc:172145,zgc:172145,"Ferritin light chain, oocyte isoform-like",
